Metrekare,OdaSayisi,BinaYasi,Sehir,Ilce,Fiyat
120,4,35,İzmir,Balçova,2750000.0
115,3,4,İzmir,Balçova,4250000.0
110,3,26,İzmir,Balçova,2800000.0
75,3,5,İzmir,Balçova,3500000.0
35,2,26,İzmir,Balçova,1500000.0
130,4,24,İzmir,Balçova,5500000.0
100,3,30,İzmir,Balçova,2200000.0
120,4,30,İzmir,Balçova,2850000.0
119,3,3,İzmir,Balçova,1850000.0
130,4,31,İzmir,Balçova,4250000.0
128,3,5,İzmir,Balçova,4250000.0
265,5,10,İzmir,Balçova,25000000.0
80,3,42,İzmir,Balçova,2500000.0
100,3,5,İzmir,Balçova,4250000.0
95,3,20,İzmir,Balçova,4000000.0
135,4,28,İzmir,Balçova,2800000.0
100,3,30,İzmir,Balçova,2250000.0
120,3,28,İzmir,Balçova,3150000.0
145,4,28,İzmir,Balçova,6500000.0
137,4,35,İzmir,Balçova,3500000.0
150,4,7,İzmir,Balçova,4500000.0
110,3,25,İzmir,Balçova,2190000.0
55,2,6,İzmir,Balçova,2780000.0
145,4,6,İzmir,Balçova,4650000.0
100,3,8,İzmir,Balçova,3000000.0
188,4,21,İzmir,Balçova,9500000.0
115,3,4,İzmir,Balçova,4450000.0
120,4,32,İzmir,Balçova,3000000.0
121,4,12,İzmir,Balçova,4500000.0
135,4,30,İzmir,Balçova,3650000.0
88,3,26,İzmir,Balçova,2800000.0
135,4,18,İzmir,Balçova,4500000.0
120,4,26,İzmir,Balçova,2622000.0
150,4,18,İzmir,Balçova,3600000.0
115,4,46,İzmir,Balçova,2500000.0
90,3,4,İzmir,Balçova,3900000.0
115,4,26,İzmir,Balçova,3200000.0
105,4,5,İzmir,Balçova,5800000.0
120,4,20,İzmir,Balçova,2350000.0
90,3,30,İzmir,Balçova,1850000.0
120,4,45,İzmir,Balçova,3500000.0
95,3,5,İzmir,Balçova,4250000.0
135,4,28,İzmir,Balçova,4500000.0
105,3,5,İzmir,Balçova,3590000.0
125,4,35,İzmir,Balçova,2700000.0
100,3,35,İzmir,Balçova,2650000.0
117,3,30,İzmir,Balçova,4850000.0
100,3,7,İzmir,Balçova,3000000.0
90,3,3,İzmir,Balçova,3400000.0
90,3,26,İzmir,Balçova,2900000.0
120,4,30,İzmir,Balçova,2950000.0
145,4,30,İzmir,Balçova,2350000.0
80,3,38,İzmir,Balçova,2500000.0
110,3,30,İzmir,Balçova,2000000.0
85,3,9,İzmir,Balçova,5000000.0
120,4,30,İzmir,Balçova,3000000.0
125,4,50,İzmir,Balçova,3100000.0
125,4,7,İzmir,Balçova,4150000.0
90,3,26,İzmir,Balçova,2600000.0
148,4,28,İzmir,Balçova,4500000.0
300,5,16,İzmir,Balçova,9650000.0
255,7,8,İzmir,Balçova,25500000.0
135,4,20,İzmir,Balçova,4500000.0
135,4,30,İzmir,Balçova,3600000.0
140,4,3,İzmir,Balçova,6250000.0
75,3,40,İzmir,Balçova,1925000.0
135,4,27,İzmir,Balçova,3750000.0
185,4,9,İzmir,Balçova,7300000.0
135,4,30,İzmir,Balçova,2750000.0
140,4,30,İzmir,Balçova,4500000.0
100,3,3,İzmir,Balçova,3990000.0
155,4,5,İzmir,Balçova,3500000.0
156,4,25,İzmir,Balçova,4000000.0
400,5,15,İzmir,Balçova,15000000.0
90,3,28,İzmir,Balçova,3000000.0
75,2,0,İzmir,Balçova,3650000.0
145,4,35,İzmir,Balçova,3500000.0
155,4,11,İzmir,Balçova,3650000.0
120,4,21,İzmir,Balçova,3320000.0
110,3,35,İzmir,Balçova,2800000.0
260,5,0,İzmir,Balçova,15000000.0
95,3,38,İzmir,Balçova,2350000.0
210,6,7,İzmir,Balçova,11850000.0
90,3,35,İzmir,Balçova,2200000.0
75,2,7,İzmir,Balçova,3500000.0
120,3,30,İzmir,Balçova,3850000.0
350,6,0,İzmir,Balçova,29000000.0
100,3,11,İzmir,Balçova,3500000.0
135,4,30,İzmir,Balçova,3500000.0
100,3,12,İzmir,Balçova,3950000.0
150,5,10,İzmir,Balçova,13000000.0
165,4,35,İzmir,Balçova,4250000.0
95,3,35,İzmir,Balçova,2700000.0
95,3,4,İzmir,Balçova,5500000.0
150,5,3,İzmir,Balçova,5500000.0
105,3,30,İzmir,Balçova,2250000.0
110,3,5,İzmir,Balçova,3850000.0
100,4,31,İzmir,Balçova,2850000.0
200,5,25,İzmir,Balçova,12000000.0
60,2,31,İzmir,Balçova,1590000.0
85,3,33,İzmir,Balçova,3100000.0
100,4,26,İzmir,Balçova,2950000.0
75,3,5,İzmir,Balçova,3500000.0
125,4,23,İzmir,Balçova,4600000.0
246,4,31,İzmir,Balçova,20000000.0
135,4,33,İzmir,Balçova,2800000.0
128,4,30,İzmir,Balçova,4500000.0
130,4,32,İzmir,Balçova,1950000.0
135,4,26,İzmir,Balçova,3600000.0
80,3,8,İzmir,Balçova,2850000.0
115,3,26,İzmir,Balçova,3150000.0
55,2,2,İzmir,Balçova,3000000.0
100,4,25,İzmir,Balçova,5900000.0
130,4,35,İzmir,Balçova,3650000.0
101,3,30,İzmir,Balçova,2150000.0
110,3,5,İzmir,Balçova,4950000.0
110,3,0,İzmir,Balçova,4500000.0
65,2,25,İzmir,Balçova,1650000.0
100,3,4,İzmir,Balçova,3250000.0
130,4,35,İzmir,Balçova,3500000.0
100,3,5,İzmir,Balçova,5500000.0
320,7,28,İzmir,Balçova,15000000.0
88,3,30,İzmir,Balçova,2800000.0
120,4,0,İzmir,Balçova,6250000.0
400,7,25,İzmir,Balçova,17750000.0
120,4,26,İzmir,Balçova,3100000.0
125,4,30,İzmir,Balçova,3750000.0
85,3,34,İzmir,Balçova,2300000.0
130,4,26,İzmir,Balçova,2950000.0
120,4,30,İzmir,Balçova,3100000.0
55,2,0,İzmir,Balçova,3300000.0
400,6,30,İzmir,Balçova,15000000.0
145,4,20,İzmir,Balçova,4950000.0
105,3,5,İzmir,Balçova,4450000.0
90,3,5,İzmir,Balçova,4500000.0
120,4,6,İzmir,Balçova,5500000.0
220,5,30,İzmir,Balçova,8500000.0
105,3,35,İzmir,Balçova,2600000.0
45,2,5,İzmir,Balçova,3750000.0
135,3,25,İzmir,Balçova,6000000.0
115,3,26,İzmir,Balçova,2500000.0
110,3,25,İzmir,Balçova,3000000.0
160,4,35,İzmir,Balçova,3500000.0
125,4,35,İzmir,Balçova,4250000.0
90,3,0,İzmir,Balçova,4650000.0
140,4,31,İzmir,Balçova,3200000.0
115,4,9,İzmir,Balçova,5000000.0
55,2,0,İzmir,Balçova,3250000.0
140,4,30,İzmir,Balçova,3700000.0
125,3,7,İzmir,Balçova,5000000.0
140,4,17,İzmir,Balçova,3950000.0
285,5,8,İzmir,Balçova,18900000.0
110,4,20,İzmir,Balçova,3350000.0
85,3,0,İzmir,Balçova,4450000.0
110,3,5,İzmir,Balçova,3850000.0
68,2,5,İzmir,Balçova,2575000.0
90,3,5,İzmir,Balçova,3150000.0
120,4,31,İzmir,Balçova,2990000.0
160,4,25,İzmir,Balçova,4200000.0
145,4,37,İzmir,Balçova,3100000.0
150,4,30,İzmir,Balçova,3750000.0
131,4,30,İzmir,Balçova,2750000.0
85,3,4,İzmir,Balçova,4200000.0
110,3,8,İzmir,Balçova,3900000.0
160,4,31,İzmir,Balçova,3500000.0
136,4,28,İzmir,Balçova,6000000.0
100,3,5,İzmir,Balçova,3450000.0
135,4,30,İzmir,Balçova,6100000.0
90,3,31,İzmir,Balçova,2600000.0
140,4,30,İzmir,Balçova,4000000.0
160,4,35,İzmir,Balçova,5250000.0
140,4,30,İzmir,Balçova,3500000.0
121,4,35,İzmir,Balçova,2250000.0
100,3,0,İzmir,Balçova,5250000.0
115,4,35,İzmir,Balçova,2900000.0
120,4,40,İzmir,Balçova,1850000.0
150,4,3,İzmir,Balçova,6700000.0
180,4,26,İzmir,Balçova,8000000.0
130,4,30,İzmir,Balçova,2775000.0
65,3,10,İzmir,Balçova,2850000.0
110,4,30,İzmir,Balçova,2350000.0
145,4,26,İzmir,Balçova,4500000.0
110,4,34,İzmir,Balçova,3030000.0
140,4,25,İzmir,Balçova,5000000.0
240,5,35,İzmir,Balçova,40000000.0
100,3,3,İzmir,Balçova,3150000.0
140,4,35,İzmir,Balçova,2925000.0
140,5,35,İzmir,Balçova,3500000.0
45,2,8,İzmir,Balçova,3500000.0
45,2,1,İzmir,Balçova,2850000.0
120,4,36,İzmir,Balçova,2550000.0
130,4,31,İzmir,Balçova,3000000.0
120,3,31,İzmir,Balçova,2750000.0
128,3,22,İzmir,Balçova,4500000.0
175,4,26,İzmir,Balçova,12950000.0
130,4,30,İzmir,Balçova,4500000.0
110,3,30,İzmir,Balçova,2000000.0
140,4,0,İzmir,Balçova,6500000.0
330,5,21,İzmir,Balçova,10750000.0
165,5,30,İzmir,Balçova,4500000.0
110,3,31,İzmir,Balçova,2800000.0
111,4,30,İzmir,Balçova,2500000.0
110,3,21,İzmir,Balçova,2250000.0
75,3,8,İzmir,Balçova,1800000.0
91,7,35,İzmir,Balçova,2500000.0
550,9,12,İzmir,Balçova,40000000.0
142,4,34,İzmir,Balçova,3350000.0
90,3,8,İzmir,Balçova,4200000.0
115,4,30,İzmir,Balçova,3500000.0
400,8,12,İzmir,Balçova,26500000.0
120,3,27,İzmir,Balçova,3150000.0
87,3,0,İzmir,Balçova,4250000.0
110,3,21,İzmir,Balçova,2500000.0
90,3,30,İzmir,Balçova,1990000.0
95,3,10,İzmir,Balçova,3275000.0
170,4,13,İzmir,Balçova,15500000.0
120,4,36,İzmir,Balçova,3500000.0
80,3,35,İzmir,Balçova,2650000.0
145,4,38,İzmir,Balçova,2500000.0
160,4,33,İzmir,Balçova,3500000.0
85,3,31,İzmir,Balçova,3100000.0
182,4,13,İzmir,Balçova,5000000.0
356,6,0,İzmir,Balçova,18500000.0
118,4,5,İzmir,Balçova,5800000.0
120,4,30,İzmir,Balçova,2250000.0
105,3,30,İzmir,Balçova,2250000.0
110,4,26,İzmir,Balçova,3150000.0
58,2,2,İzmir,Balçova,2250000.0
280,6,20,İzmir,Balçova,15500000.0
160,4,30,İzmir,Balçova,4500000.0
160,3,28,İzmir,Balçova,2500000.0
55,2,6,İzmir,Balçova,3000000.0
245,4,13,İzmir,Balçova,5000000.0
400,7,21,İzmir,Balçova,48000000.0
132,4,30,İzmir,Balçova,3500000.0
135,4,26,İzmir,Balçova,3650000.0
320,6,31,İzmir,Balçova,20900000.0
95,3,0,İzmir,Balçova,4750000.0
210,6,5,İzmir,Balçova,11850000.0
100,3,15,İzmir,Balçova,3150000.0
145,4,0,İzmir,Balçova,6500000.0
209,5,14,İzmir,Balçova,14750000.0
230,4,17,İzmir,Balçova,5650000.0
75,3,3,İzmir,Balçova,3500000.0
125,4,29,İzmir,Balçova,2100000.0
135,4,27,İzmir,Balçova,2700000.0
55,2,4,İzmir,Balçova,2050000.0
120,4,35,İzmir,Balçova,2750000.0
115,3,4,İzmir,Balçova,4250000.0
110,3,26,İzmir,Balçova,2800000.0
75,3,5,İzmir,Balçova,3500000.0
35,2,26,İzmir,Balçova,1500000.0
130,4,24,İzmir,Balçova,5500000.0
100,3,30,İzmir,Balçova,2200000.0
120,4,30,İzmir,Balçova,2850000.0
119,3,3,İzmir,Balçova,1850000.0
130,4,31,İzmir,Balçova,4250000.0
128,3,5,İzmir,Balçova,4250000.0
265,5,10,İzmir,Balçova,25000000.0
80,3,42,İzmir,Balçova,2500000.0
100,3,5,İzmir,Balçova,4250000.0
95,3,20,İzmir,Balçova,4000000.0
135,4,28,İzmir,Balçova,2800000.0
100,3,30,İzmir,Balçova,2250000.0
120,3,28,İzmir,Balçova,3150000.0
145,4,28,İzmir,Balçova,6500000.0
137,4,35,İzmir,Balçova,3500000.0
150,4,7,İzmir,Balçova,4500000.0
110,3,25,İzmir,Balçova,2190000.0
55,2,6,İzmir,Balçova,2780000.0
145,4,6,İzmir,Balçova,4650000.0
100,3,8,İzmir,Balçova,3000000.0

188,4,21,İzmir,Balçova,9500000.0
115,3,4,İzmir,Balçova,4450000.0
130,4,30,İzmir,Balçova,4500000.0
110,3,30,İzmir,Balçova,2000000.0
140,4,0,İzmir,Balçova,6500000.0
330,5,21,İzmir,Balçova,10750000.0
165,5,30,İzmir,Balçova,4500000.0
110,3,31,İzmir,Balçova,2800000.0
111,4,30,İzmir,Balçova,2500000.0
110,3,21,İzmir,Balçova,2250000.0
75,3,8,İzmir,Balçova,1800000.0
91,7,35,İzmir,Balçova,2500000.0
550,9,12,İzmir,Balçova,40000000.0
142,4,34,İzmir,Balçova,3350000.0
90,3,8,İzmir,Balçova,4200000.0
115,4,30,İzmir,Balçova,3500000.0
400,8,12,İzmir,Balçova,26500000.0
120,3,27,İzmir,Balçova,3150000.0
87,3,0,İzmir,Balçova,4250000.0
110,3,21,İzmir,Balçova,2500000.0
90,3,30,İzmir,Balçova,1990000.0
95,3,10,İzmir,Balçova,3275000.0
120,3,27,İzmir,Balçova,3150000.0
87,3,0,İzmir,Balçova,4250000.0
110,3,21,İzmir,Balçova,2500000.0
145,4,38,İzmir,Balçova,2500000.0
160,4,33,İzmir,Balçova,3500000.0
85,3,31,İzmir,Balçova,3100000.0
182,4,13,İzmir,Balçova,5000000.0
356,6,0,İzmir,Balçova,18500000.0
118,4,5,İzmir,Balçova,5800000.0
120,4,30,İzmir,Balçova,2250000.0
105,3,30,İzmir,Balçova,2250000.0
110,4,26,İzmir,Balçova,3150000.0
58,2,2,İzmir,Balçova,2250000.0
280,6,20,İzmir,Balçova,15500000.0
160,4,30,İzmir,Balçova,4500000.0
160,3,28,İzmir,Balçova,2500000.0
55,2,6,İzmir,Balçova,3000000.0
245,4,13,İzmir,Balçova,5000000.0
400,7,21,İzmir,Balçova,48000000.0
132,4,30,İzmir,Balçova,3500000.0
135,4,26,İzmir,Balçova,3650000.0
320,6,31,İzmir,Balçova,20900000.0
95,3,0,İzmir,Balçova,4750000.0
210,6,5,İzmir,Balçova,11850000.0
100,3,15,İzmir,Balçova,3150000.0
145,4,0,İzmir,Balçova,6500000.0
209,5,14,İzmir,Balçova,14750000.0
230,4,17,İzmir,Balçova,5650000.0
75,3,3,İzmir,Balçova,3500000.0
125,4,29,İzmir,Balçova,2100000.0
135,4,27,İzmir,Balçova,2700000.0
55,2,4,İzmir,Balçova,2050000.0
120,4,35,İzmir,Balçova,2750000.0
115,3,4,İzmir,Balçova,4250000.0
110,3,26,İzmir,Balçova,2800000.0
75,3,5,İzmir,Balçova,3500000.0
35,2,26,İzmir,Balçova,1500000.0
130,4,24,İzmir,Balçova,5500000.0
100,3,30,İzmir,Balçova,2200000.0
120,4,30,İzmir,Balçova,2850000.0
119,3,3,İzmir,Balçova,1850000.0
130,4,31,İzmir,Balçova,4250000.0
128,3,5,İzmir,Balçova,4250000.0
265,5,10,İzmir,Balçova,25000000.0
80,3,42,İzmir,Balçova,2500000.0
100,3,5,İzmir,Balçova,4250000.0
95,3,20,İzmir,Balçova,4000000.0
135,4,28,İzmir,Balçova,2800000.0
100,3,30,İzmir,Balçova,2250000.0
120,3,28,İzmir,Balçova,3150000.0
145,4,28,İzmir,Balçova,6500000.0
137,4,35,İzmir,Balçova,3500000.0
150,4,7,İzmir,Balçova,4500000.0
110,3,25,İzmir,Balçova,2190000.0
55,2,6,İzmir,Balçova,2780000.0
145,4,6,İzmir,Balçova,4650000.0
100,3,8,İzmir,Balçova,3000000.0
188,4,21,İzmir,Balçova,9500000.0
115,3,4,İzmir,Balçova,4450000.0
120,4,32,İzmir,Balçova,3000000.0
121,4,12,İzmir,Balçova,4500000.0
135,4,30,İzmir,Balçova,3650000.0
88,3,26,İzmir,Balçova,2800000.0
135,4,18,İzmir,Balçova,4500000.0
120,4,26,İzmir,Balçova,2622000.0
150,4,18,İzmir,Balçova,3600000.0
115,4,46,İzmir,Balçova,2500000.0
90,3,4,İzmir,Balçova,3900000.0
115,4,26,İzmir,Balçova,3200000.0
105,4,5,İzmir,Balçova,5800000.0
120,4,20,İzmir,Balçova,2350000.0
90,3,30,İzmir,Balçova,1850000.0
120,4,45,İzmir,Balçova,3500000.0
95,3,5,İzmir,Balçova,4250000.0
135,4,28,İzmir,Balçova,4500000.0
105,3,5,İzmir,Balçova,3590000.0
125,4,35,İzmir,Balçova,2700000.0
100,3,35,İzmir,Balçova,2650000.0
117,3,30,İzmir,Balçova,4850000.0
100,3,7,İzmir,Balçova,3000000.0
90,3,3,İzmir,Balçova,3400000.0
90,3,26,İzmir,Balçova,2900000.0
120,4,30,İzmir,Balçova,2950000.0
145,4,30,İzmir,Balçova,2350000.0
80,3,38,İzmir,Balçova,2500000.0
110,3,30,İzmir,Balçova,2000000.0
85,3,9,İzmir,Balçova,5000000.0
120,4,30,İzmir,Balçova,3000000.0
125,4,50,İzmir,Balçova,3100000.0
125,4,7,İzmir,Balçova,4150000.0
90,3,26,İzmir,Balçova,2600000.0
148,4,28,İzmir,Balçova,4500000.0
